Country Name,Most Recent Year,Population on thousands
Afghanistan,2020,"38,928.34"
Albania,2020,"2,837.85"
Algeria,2020,"43,851.04"
American Samoa,2020,55.2
Andorra,2020,77.27
Angola,2020,"32,866.27"
Antigua and Barbuda,2020,97.93
Argentina,2020,"45,376.76"
Armenia,2020,"2,963.23"
Aruba,2020,106.77
Australia,2020,"25,693.27"
Austria,2020,"8,916.86"
Azerbaijan,2020,"10,093.12"
"Bahamas, The",2020,393.25
Bahrain,2020,"1,701.58"
Bangladesh,2020,"164,689.38"
Barbados,2020,287.37
Belarus,2020,"9,379.95"
Belgium,2020,"11,544.24"
Belize,2020,397.62
Benin,2020,"12,123.20"
Bermuda,2020,63.9
Bhutan,2020,771.61
Bolivia,2020,"11,673.03"
Bosnia and Herzegovina,2020,"3,280.82"
Botswana,2020,"2,351.63"
Brazil,2020,"212,559.41"
British Virgin Islands,2020,30.24
Brunei Darussalam,2020,437.48
Bulgaria,2020,"6,934.02"
Burkina Faso,2020,"20,903.28"
Burundi,2020,"11,890.78"
Cabo Verde,2020,555.99
Cambodia,2020,"16,718.97"
Cameroon,2020,"26,545.86"
Canada,2020,"38,037.20"
Cayman Islands,2020,65.72
Central African Republic,2020,"4,829.76"
Chad,2020,"16,425.86"
Channel Islands,2020,173.86
Chile,2020,"19,116.21"
China,2020,"1,410,929.36"
Colombia,2020,"50,882.88"
Comoros,2020,869.6
"Congo, Dem. Rep.",2020,"89,561.40"
"Congo, Rep.",2020,"5,518.09"
Costa Rica,2020,"5,094.11"
Cote d'Ivoire,2020,"26,378.28"
Croatia,2020,"4,047.68"
Cuba,2020,"11,326.62"
Curacao,2020,154.95
Cyprus,2020,"1,207.36"
Czech Republic,2020,"10,697.86"
Denmark,2020,"5,831.40"
Djibouti,2020,988
Dominica,2020,71.99
Dominican Republic,2020,"10,847.90"
Ecuador,2020,"17,643.06"
"Egypt, Arab Rep.",2020,"102,334.40"
El Salvador,2020,"6,486.20"
Equatorial Guinea,2020,"1,402.98"
Eritrea,2011,"3,213.97"
Estonia,2020,"1,329.48"
Eswatini,2020,"1,160.16"
Ethiopia,2020,"114,963.58"
Faroe Islands,2020,48.87
Fiji,2020,896.44
Finland,2020,"5,529.54"
France,2020,"67,379.91"
French Polynesia,2020,280.9
Gabon,2020,"2,225.73"
"Gambia, The",2020,"2,416.66"
Georgia,2020,"3,722.72"
Germany,2020,"83,160.87"
Ghana,2020,"31,072.94"
Gibraltar,2020,33.69
Greece,2020,"10,700.56"
Greenland,2020,56.37
Grenada,2020,112.52
Guam,2020,168.78
Guatemala,2020,"16,858.33"
Guinea,2020,"13,132.79"
Guinea-Bissau,2020,"1,968.00"
Guyana,2020,786.56
Haiti,2020,"11,402.53"
Honduras,2020,"9,904.61"
"Hong Kong SAR, China",2020,"7,481.80"
Hungary,2020,"9,750.15"
Iceland,2020,366.46
India,2020,"1,380,004.39"
Indonesia,2020,"273,523.62"
"Iran, Islamic Rep.",2020,"83,992.95"
Iraq,2020,"40,222.50"
Ireland,2020,"4,985.67"
Isle of Man,2020,85.03
Israel,2020,"9,215.10"
Italy,2020,"59,449.53"
Jamaica,2020,"2,961.16"
Japan,2020,"125,836.02"
Jordan,2020,"10,203.14"
Kazakhstan,2020,"18,754.44"
Kenya,2020,"53,771.30"
Kiribati,2020,119.45
"Korea, Dem. People's Rep.",2020,"25,778.81"
"Korea, Rep.",2020,"51,836.24"
Kosovo,2020,"1,790.13"
Kuwait,2020,"4,270.56"
Kyrgyz Republic,2020,"6,579.90"
Lao PDR,2020,"7,275.56"
Latvia,2020,"1,900.45"
Lebanon,2020,"6,825.44"
Lesotho,2020,"2,142.25"
Liberia,2020,"5,057.68"
Libya,2020,"6,871.29"
Liechtenstein,2020,38.14
Lithuania,2020,"2,794.89"
Luxembourg,2020,630.42
"Macao SAR, China",2020,649.34
Madagascar,2020,"27,691.02"
Malawi,2020,"19,129.96"
Malaysia,2020,"32,366.00"
Maldives,2020,540.54
Mali,2020,"20,250.83"
Malta,2020,515.33
Marshall Islands,2020,59.19
Mauritania,2020,"4,649.66"
Mauritius,2020,"1,265.74"
Mexico,2020,"128,932.75"
"Micronesia, Fed. Sts.",2020,115.02
Moldova,2020,"2,620.49"
Monaco,2020,39.24
Mongolia,2020,"3,278.29"
Montenegro,2020,621.31
Morocco,2020,"36,910.56"
Mozambique,2020,"31,255.44"
Myanmar,2020,"54,409.79"
Namibia,2020,"2,540.92"
Nauru,2020,10.83
Nepal,2020,"29,136.81"
